LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
Roma,01/05/2025,19,12,27,11,59,20,0,0,0,1018,0,0,
Roma,02/05/2025,19,12,26,11,60,18,0,0,0,1019,0,0,
Roma,03/05/2025,19,12,25,11,63,19,0,0,0,1019,0,0,
Roma,04/05/2025,19,14,22,9,55,20,0,0,0,1013,0,0,pioggia 
Roma,05/05/2025,19,17,22,15,75,19,0,22,0,1008,0,0,pioggia temporale 
Roma,06/05/2025,18,16,22,13,74,21,0,0,0,1010,0,0,pioggia temporale 
Roma,07/05/2025,17,14,21,11,71,18,0,0,0,1013,0,0,pioggia 
Roma,08/05/2025,16,13,20,11,71,21,0,0,0,1012,0,0,pioggia 
Roma,09/05/2025,16,10,22,9,66,19,0,0,0,1013,0,0,
Roma,10/05/2025,18,11,23,10,62,20,0,0,0,1016,0,0,
Roma,11/05/2025,17,13,22,11,67,20,0,0,0,1014,0,0,
Roma,12/05/2025,18,12,24,12,71,22,0,0,0,1011,0,0,
Roma,13/05/2025,18,13,24,13,70,20,0,0,0,1013,0,0,pioggia temporale 
Roma,14/05/2025,18,12,24,13,73,20,0,0,0,1015,0,0,pioggia 
Roma,15/05/2025,18,14,24,13,74,20,0,0,0,1009,0,0,pioggia 
Roma,16/05/2025,17,12,22,9,61,19,0,0,0,1006,0,0,
Roma,17/05/2025,15,9,22,7,58,19,0,0,0,1014,0,0,
Roma,18/05/2025,18,10,23,10,63,20,0,0,0,1018,0,0,
Roma,19/05/2025,19,13,25,11,59,21,0,0,0,1019,0,0,
Roma,20/05/2025,19,15,24,12,66,18,0,15,0,1016,0,0,pioggia temporale 
Roma,21/05/2025,18,15,21,14,78,20,0,0,0,1013,0,0,
Roma,22/05/2025,19,15,21,13,72,20,0,0,0,1012,0,0,pioggia temporale 
Roma,23/05/2025,18,14,21,13,73,22,0,0,0,1010,0,0,pioggia 
Roma,24/05/2025,17,13,21,13,79,19,0,0,0,1012,0,0,pioggia temporale 
Roma,25/05/2025,18,10,25,5,46,19,0,0,0,1015,0,0,
Roma,26/05/2025,19,13,25,11,62,21,0,0,0,1017,0,0,
Roma,27/05/2025,20,15,25,13,64,20,0,0,0,1017,0,0,pioggia 
Roma,28/05/2025,20,14,27,13,67,20,0,0,0,1018,0,0,
Roma,29/05/2025,22,17,30,14,63,20,0,0,0,1015,0,0,
Roma,30/05/2025,23,16,28,11,52,20,0,0,0,1020,0,0,
Roma,31/05/2025,24,17,29,12,48,18,0,0,0,1020,0,0,
